VISEU,18
Armamar,1
Aldeias,01
Cimbres,04
Folgosa,06
Fontelo,07
Queimada,09
Queimadela,10
Santa Cruz,11
S. Cosmado,14
S. Martinho Das Chas,15
Vacalar,18
Armamar,20
Aricera e Goujoim,21
Sao Romao e Santiago,22
Vila Seca e Santo Adriao,23
Carregal do Sal,2
Beijos,01
Cabanas de Viriato,02
Oliveira do Conde,04
Parada,06
Currelos, Papizios e Sobral,08
Castro Daire,3
Almofala,01
Cabril,03
Castro Daire,04
Cujo,05
Gosende,09
Moes,12
Moledo,13
Monteiras,14
Pepim,17
Pinheiro,19
S. Joaninho,22
Mamouros, Alva e Ribolhos,23
Mezio e Moura Morta,24
Parada de Ester e Ester,25
Picao e Ermida,26
Reriz e Gafanhao,27
Cinfaes,4
Cinfaes,03
Espadanedo,04
Ferreiros de Tendais,05
Fornelos,06
Moimenta,08
Nespereira,09
Oliveira do Douro,10
Santiago de Piaes,12
S. Cristovao de Nogueira,13
Souselo,14
Tarouquela,15
Tendais,16
Travanca,17
Alhoes, Bustelo, Gralheira e Ramires,18
Lamego,5
Avoes,02
Britiande,04
Cambres,05
Ferreirim,07
Ferreiros de Avoes,08
Figueira,09
Lalim,10
Lazarim,11
Penajoia,16
Penude,17
Samodaes,19
Sande,20
Varzea de Abrunhais,23
Vila Nova de Souto D El-Rei,24
Lamego (Almacave e Se),25
Bigorne, Magueija e Pretarouca,26
Cepoes, Meijinhos e Melcoes,27
Parada do Bispo e Valdigem,28
Mangualde,6
Abrunhosa-A-Velha,01
Alcafache,02
Cunha Baixa,05
Espinho,06
Fornos de Maceira Dao,07
Freixiosa,08
Quintela de Azurara,14
S. Joao da Fresta,16
Mangualde, Mesquitela e Cunha Alta,19
Moimenta de Maceira Dao e Lobelhe do Mato,20
Santiago de Cassurraes e Povoa de Cervaes,21
Tavares (Chas, Varzea e Travanca),22
Moimenta da Beira,7
Alvite,02
Arcozelos,03
Baldos,05
Cabacos,06
Caria,07
Castelo,08
Leomil,09
Moimenta da Beira,10
Passo,13
Rua,16
Sarzedo,17
Sever,19
Vilar,20
Paradinha e Nagosa,21
Pera Velha, Aldeia de Nacomba e Ariz,22
Peva e Segoes,23
Mortagua,8
Cercosa,02
Espinho,04
Marmeleira,05
Pala,07
Sobral,08
Trezoi,09
Mortagua, Vale de Remigio, Cortegaca e Almaca,11
Nelas,9
Canas de Senhorim,01
Nelas,03
Senhorim,05
Vilar Seco,06
Lapa do Lobo,08
Carvalhal Redondo e Aguieira,10
Santar e Moreira,11
Oliveira de Frades,10
Arcozelo Das Maias,02
Pinheiro,05
Ribeiradio,07
S. Joao da Serra,08
S. Vicente de Lafoes,09
Arca e Varzielas,13
Destriz e Reigoso,14
Oliveira de Frades, Souto de Lafoes e Sejaes,15
Penalva do Castelo,11
Castelo de Penalva,02
Esmolfe,03
Germil,04
Insua,05
Lusinde,06
Pindo,09
Real,10
Sezures,11
Trancozelos,12
Antas e Matela,14
Vila Cova do Covelo/Mareco,15
Penedono,12
Beselga,02
Castainco,03
Penela da Beira,07
Povoa de Penela,08
Souto,09
Antas e Ourozinho,10
Penedono e Granja,11
Resende,13
Barro,02
Carquere,03
Paus,10
Resende,11
S. Cipriano,12
S. Joao de Fontoura,13
S. Martinho de Mouros,14
Anreade e Sao Romao de Aregos,16
Felgueiras e Feirao,17
Freigil e Miomaes,18
Ovadas e Panchorra,19
Santa Comba Dao,14
Pinheiro de Azere,03
S. Joaninho,05
S. Joao de Areias,06
Ovoa e Vimieiro,10
Santa Comba Dao e Couto do Mosteiro,11
Treixedo e Nagozela,12
S. Joao da Pesqueira,15
Castanheiro do Sul,01
Ervedosa do Douro,02
Nagozelo do Douro,04
Paredes da Beira,05
Riodades,07
Soutelo do Douro,09
Vale de Figueira,11
Valongo Dos Azeites,12
Sao Joao da Pesqueira e Varzea de Trevoes,15
Trevoes e Espinhosa,16
Vilarouco e Pereiros,17
S. Pedro do Sul,16
Bordonhos,02
Figueiredo de Alva,06
Manhouce,07
Pindelo Dos Milagres,08
Pinho,09
S. Felix,12
Serrazes,15
Sul,16
Valadares,17
Vila Maior,19
Carvalhais e Candal,20
Santa Cruz da Trapa e Sao Cristovao de Lafoes,21
Sao Martinho Das Moitas e Covas do Rio,22
Sao Pedro do Sul, Varzea e Baioes,23
Satao,17
Avelal,02
Ferreira de Aves,04
Mioma,06
Rio de Moinhos,07
S. Miguel de Vila Boa,09
Satao,10
Silva de Cima,11
Aguas Boas e Forles,13
Romas, Decermilo e Vila Longa,14
Sernancelhe,18
Arnas,01
Carregal,02
Chosendo,03
Cunha,04
Faia,06
Granjal,10
Lamosa,11
Quintela,14
Vila da Ponte,17
Ferreirim e Macieira,18
Fonte Arcada e Escurquela,19
Penso e Freixinho,20
Sernancelhe e Sarzeda,21
Tabuaco,19
Adorigo,01
Arcos,02
Chavaes,04
Desejosa,05
Granja do Tedo,06
Longa,08
Sendim,13
Tabuaco,14
Valenca do Douro,17
Barcos e Santa Leocadia,18
Paradela e Granjinha,19
Pinheiros e Vale de Figueira,20
Tavora e Pereiro,21
Tarouca,20
Mondim da Beira,04
Salzedas,05
S. Joao de Tarouca,06
Varzea da Serra,09
Gouviaes e Ucanha,11
Granja Nova e Vila Cha da Beira,12
Tarouca e Dalvares,13
Tondela,21
Campo de Besteiros,02
Canas de Santa Maria,03
Casteloes,05
Dardavaz,06
Ferreiros do Dao,07
Guardao,08
Lajeosa do Dao,09
Lobao da Beira,10
Molelos,11
Parada de Gonta,16
Santiago de Besteiros,18
Tonda,22
Barreiro de Besteiros e Tourigo,27
Caparrosa e Silvares,28
Mouraz e Vila Nova da Rainha,29
Sao Joao do Monte e Mosteirinho,30
Sao Miguel do Outeiro e Sabugosa,31
